,Rating ,Customer Id,Date,Variation,Verified_reviews,feedback,Positive / Negative,Verbs (Lamatize),Latest Review,Unique customer Flag,Identify_Words
0,5,11000057,2018-07-31,Charcoal Fabric ,Love my Echo!,1,Positive,[Love],Love my Echo!,False,[]
2456,4,11002513,2018-07-31,Black  Dot,I like how it will connect to bluetooth without an adapter like the Google. Only reason for 4 stars is volume level without external speaker. Easy to use.,1,Negative,"[like, will, connect, bluetooth, is, use]",I like how it will connect to bluetooth without an adapter like the Google. Only reason for 4 stars is volume level without external speaker. Easy to use.,False,['like']
2454,5,11002511,2018-07-31,Black  Dot,Family loved it!,1,Positive,[loved],Family loved it!,False,[]
2453,5,11002510,2018-07-31,Black  Dot,I like that it responds every time. It was easy to set up.  I'm still learning what I can do with it. I may like a better speaker more.,1,Negative,"[like, responds, was, set, 'm, learning, can, do, may, like]",I like that it responds every time. It was easy to set up.  I'm still learning what I can do with it. I may like a better speaker more.,False,['like']
2452,5,11002509,2018-07-31,Black  Dot,beyond awesome,1,Negative,[],beyond awesome,False,[]
2451,5,11002508,2018-07-31,White  Dot,Small device that my kids like to ask questions. Very handy friendly interactive,1,Negative,"[like, ask]",Small device that my kids like to ask questions. Very handy friendly interactive,False,['like']
2450,5,11002507,2018-07-31,Black  Dot,"I set her up to play through our home theater system. So fat we are just using her for weather forecasts, cooking timers, and we really enjoy the music!",1,Negative,"[set, play, are, using, enjoy]","I set her up to play through our home theater system. So fat we are just using her for weather forecasts, cooking timers, and we really enjoy the music!",False,[]
1400,5,11001457,2018-07-31,Black  Show,I love love love love it!  I feel like I have a talking computer that tells me EVERYTHING.,1,Positive,"[love, feel, have, talking, tells]",I love love love love it!  I feel like I have a talking computer that tells me EVERYTHING.,False,['like']
1401,5,11001458,2018-07-31,Black  Show,Love the Echo Show.  Being able to see the lyrics of the songs as they play or to be able to put a recipe up on the screen is wonderful!!,1,Positive,"[Love, Being, see, play, be, put, is]",Love the Echo Show.  Being able to see the lyrics of the songs as they play or to be able to put a recipe up on the screen is wonderful!!,False,[]
1402,3,11001459,2018-07-31,Black  Show,"It seems to work well.  Unfortunately a lot of the functionality is lost because, as many have mentioned, it does not work with google or Youtube any more.  This problem is caused by Google because they came up with their own devices an no longer allow access from other devices like these.  This even effected my smart TV.  Anyhow we purchased a few of these to communicate with our children and grandchildren so we'll see what happens when we hand them out.",1,Negative,"[seems, work, is, lost, have, mentioned, does, work, is, caused, came, allow, effected, purchased, communicate, 'll, see, happens, hand]","It seems to work well.  Unfortunately a lot of the functionality is lost because, as many have mentioned, it does not work with google or Youtube any more.  This problem is caused by Google because they came up with their own devices an no longer allow access from other devices like these.  This even effected my smart TV.  Anyhow we purchased a few of these to communicate with our children and grandchildren so we'll see what happens when we hand them out.",False,"['Purchase', 'Purchased', 'like']"
1403,5,11001460,2018-07-31,Black  Show,Love listening to music. Still trying to learn everything it does.,1,Positive,"[listening, trying, learn, does]",Love listening to music. Still trying to learn everything it does.,False,[]
1404,4,11001461,2018-07-31,White  Show,Very pleasedSimple to figure out,1,Negative,[figure],Very pleasedSimple to figure out,False,[]
1405,5,11001462,2018-07-31,White  Show,"just what I expected,already have 2 other  shows",1,Negative,"[expected, have]","just what I expected,already have 2 other  shows",False,[]
1406,5,11001463,2018-07-31,Black  Show,Very good,1,Negative,[],Very good,False,[]
1407,5,11001464,2018-07-31,White  Show,"Excellent to listen to my music, my audio books, and look all my cameras in and around my house.",1,Negative,"[listen, look]","Excellent to listen to my music, my audio books, and look all my cameras in and around my house.",False,[]
1408,5,11001465,2018-07-31,Black  Show,"Alexa is fun! I’ve added smart home aspects, my friend listens to Spotify, my husband enjoys interacting too.",1,Negative,"[is, ’ve, added, listens, enjoys, interacting]","Alexa is fun! I’ve added smart home aspects, my friend listens to Spotify, my husband enjoys interacting too.",False,['Alexa']
1,5,11000058,2018-07-31,Charcoal Fabric ,Loved it!,1,Positive,[Loved],Loved it!,False,[]
